"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\placeholder.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\room2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\index.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 5, 9, 38
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\manifest.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\App.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 4, 7, 33
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\account.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 1, 3, 10
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\blog.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 1, 5, 48
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\products.js", "JavaScript", 0, 0, 0, 0, 0, 49, 0, 2, 7, 58
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\user.js", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 1, 4, 28
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\index.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 1, 5, 10
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\styles.js", "JavaScript", 0, 0, 0, 0, 0, 51, 0, 5, 6, 62
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\useChart.js", "JavaScript", 0, 0, 0, 0, 0, 162, 0, 23, 23, 208
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorMultiPicker.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 3, 5, 44
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorPreview.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 2, 7, 40
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorSinglePicker.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 3, 6, 38
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\Icon.js", "JavaScript", 0, 0, 0, 0, 0, 68, 0, 3, 7, 78
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\index.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\iconify\Iconify.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 3, 5, 21
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\iconify\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\Label.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 3, 9, 52
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\styles.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 7, 9, 74
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\loading\simpleBackdrop.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\logo\Logo.js", "JavaScript", 0, 0, 0, 0, 0, 68, 0, 11, 15, 94
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\logo\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\NavSection.js", "JavaScript", 0, 0, 0, 0, 0, 61, 0, 4, 10, 75
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\styles.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 2, 4, 24
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scroll-to-top\ScrollToTop.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 1, 5, 15
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scroll-to-top\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\Scrollbar.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 3, 8, 38
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\styles.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 2, 4, 33
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\svg-color\SvgColor.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 2, 5, 32
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\svg-color\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\config\axios.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\context\AuthProvider.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\display\useMode.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 1, 3, 11
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useAxiosJWT.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useRefreshToken.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
